"SchoolYear","OrganizationLevel","County","DistrictCode","DistrictName","StudentGroupType","StudentGroup","Subject","MedianSGP","StudentCount","NumberLowGrowth","NumberTypicalGrowth","NumberHighGrowth","PercentLowGrowth","PercentTypicalGrowth","PercentHighGrowth","PhysicalAddress","Median_Household_Income"
"2019","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","English Language Arts",54,18,4,6,8,0.222,0.333,0.444,"98673",31250
"2019","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","Math",58,18,5,5,8,0.278,0.278,0.444,"98673",31250
"2018","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","English Language Arts",67,21,6,4,11,0.286,0.19,0.524,"98673",31250
"2018","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","Math",67,21,5,5,11,0.238,0.238,0.524,"98673",31250
"2017","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","English Language Arts",66,25,7,6,12,0.28,0.24,0.48,"98673",31250
"2017","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","Math",56,25,6,9,10,0.24,0.36,0.4,"98673",31250
"2016","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","English Language Arts",45,23,9,9,5,0.391,0.391,0.217,"98673",31250
"2016","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","Math",53,22,5,7,10,0.227,0.318,0.455,"98673",31250
"2015","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","English Language Arts",34,27,12,12,3,0.444,0.444,0.111,"98673",31250
"2015","District","Klickitat",20094,"Wishram School District","AllStudents","All Students","Math",44,27,12,6,9,0.444,0.222,0.333,"98673",31250
"2018","District","Yakima",39007,"Yakima School District","AllStudents","All Students","English Language Arts",53,5434,1629,1871,1934,0.3,0.344,0.356,"98902",47283
"2018","District","Yakima",39007,"Yakima School District","AllStudents","All Students","Math",51,5401,1644,1877,1880,0.304,0.348,0.348,"98902",47283
"2017","District","Yakima",39007,"Yakima School District","AllStudents","All Students","English Language Arts",46,5447,2006,1881,1560,0.368,0.345,0.286,"98902",47283
"2017","District","Yakima",39007,"Yakima School District","AllStudents","All Students","Math",52,5412,1634,1868,1910,0.302,0.345,0.353,"98902",47283
"2016","District","Yakima",39007,"Yakima School District","AllStudents","All Students","English Language Arts",46,5290,1915,1808,1567,0.362,0.342,0.296,"98902",47283
"2016","District","Yakima",39007,"Yakima School District","AllStudents","All Students","Math",49,5245,1748,1848,1649,0.333,0.352,0.314,"98902",47283
"2015","District","Yakima",39007,"Yakima School District","AllStudents","All Students","English Language Arts",47,5076,1776,1785,1515,0.35,0.352,0.298,"98902",47283
"2015","District","Yakima",39007,"Yakima School District","AllStudents","All Students","Math",42,5043,2037,1662,1344,0.404,0.33,0.267,"98902",47283
"2019","District","Yakima",39007,"Yakima School District","AllStudents","All Students","English Language Arts",51,5529,1704,1958,1867,0.308,0.354,0.338,"98902",47283
"2019","District","Yakima",39007,"Yakima School District","AllStudents","All Students","Math",48,5514,1872,1944,1698,0.339,0.353,0.308,"98902",47283
"2019","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","English Language Arts",66,855,164,271,420,0.192,0.317,0.491,"98674",75487
"2019","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","Math",68,859,158,257,444,0.184,0.299,0.517,"98674",75487
"2018","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","English Language Arts",63,848,176,283,389,0.208,0.334,0.459,"98674",75487
"2018","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","Math",62,845,192,276,377,0.227,0.327,0.446,"98674",75487
"2017","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","English Language Arts",51,840,271,300,269,0.323,0.357,0.32,"98674",75487
"2017","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","Math",45,842,302,285,255,0.359,0.338,0.303,"98674",75487
"2016","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","English Language Arts",36,800,368,263,169,0.46,0.329,0.211,"98674",75487
"2016","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","Math",47,801,281,297,223,0.351,0.371,0.278,"98674",75487
"2015","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","English Language Arts",38,641,273,226,142,0.426,0.353,0.222,"98674",75487
"2015","District","Cowlitz",8404,"Woodland School District","AllStudents","All Students","Math",50,636,206,211,219,0.324,0.332,0.344,"98674",75487
"2019","District","Thurston",34002,"Yelm School District","AllStudents","All Students","English Language Arts",51,2078,640,714,724,0.308,0.344,0.348,"98597",73664
"2019","District","Thurston",34002,"Yelm School District","AllStudents","All Students","Math",52,2076,635,688,753,0.306,0.331,0.363,"98597",73664
"2018","District","Thurston",34002,"Yelm School District","AllStudents","All Students","English Language Arts",49,1985,665,674,646,0.335,0.34,0.325,"98597",73664
"2018","District","Thurston",34002,"Yelm School District","AllStudents","All Students","Math",52,1982,588,668,726,0.297,0.337,0.366,"98597",73664
"2017","District","Thurston",34002,"Yelm School District","AllStudents","All Students","English Language Arts",50,1979,635,679,665,0.321,0.343,0.336,"98597",73664
"2017","District","Thurston",34002,"Yelm School District","AllStudents","All Students","Math",50,1985,655,687,643,0.33,0.346,0.324,"98597",73664
"2016","District","Thurston",34002,"Yelm School District","AllStudents","All Students","English Language Arts",49,1868,622,648,598,0.333,0.347,0.32,"98597",73664
"2016","District","Thurston",34002,"Yelm School District","AllStudents","All Students","Math",49,1864,645,640,579,0.346,0.343,0.311,"98597",73664
"2015","District","Thurston",34002,"Yelm School District","AllStudents","All Students","English Language Arts",40,1787,755,594,438,0.422,0.332,0.245,"98597",73664
"2015","District","Thurston",34002,"Yelm School District","AllStudents","All Students","Math",36,1781,829,584,368,0.465,0.328,0.207,"98597",73664
"2019","District","Grays Harbor",14005,"Aberdeen School District","AllStudents","All Students","English Language Arts",46,1259,447,456,356,0.355,0.362,0.283,"98520",50022
"2019","District","Grays Harbor",14005,"Aberdeen School District","AllStudents","All Students","Math",49,1259,412,444,403,0.327,0.353,0.32,"98520",50022
"2018","District","Grays Harbor",14005,"Aberdeen School District","AllStudents","All Students","English Language Arts",47,1198,423,410,365,0.353,0.342,0.305,"98520",50022
"2018","District","Grays Harbor",14005,"Aberdeen School District","AllStudents","All Students","Math",49,1191,380,446,365,0.319,0.374,0.306,"98520",50022
"2017","District","Grays Harbor",14005,"Aberdeen School District","AllStudents","All Students","English Language Arts",50,1119,373,370,376,0.333,0.331,0.336,"98520",50022
"2017","District","Grays Harbor",14005,"Aberdeen School District","AllStudents","All Students","Math",51,1112,371,366,375,0.334,0.329,0.337,"98520",50022
"2016","District","Grays Harbor",14005,"Aberdeen School District","AllStudents","All Students","English Language Arts",45,1044,371,352,321,0.355,0.337,0.307,"98520",50022
